Registry	Root	Key	Name	Value	Component_
s72	i2	l255	L255	L0	s72
Registry	Registry
regRFkGemxKr92mvlYMW_x9DmdYXi8	2	SOFTWARE\Microsoft\Windows\CurrentVersion\Lxss\MSI	InstallLocation	[INSTALLDIR]	wsl
regQ6GAjLavAOafXIgLfkZbRwDZxDc	2	SOFTWARE\Microsoft\Windows\CurrentVersion\Lxss\MSI	ProductCode	[ProductCode]	wsl
regocgwZ3596NVSnrtQbfWiSsjTm6U	2	SOFTWARE\Microsoft\Windows\CurrentVersion\Lxss\MSI	Version	2.7.11.0	wsl
regz3vxvanHh7I3zihOf0W8Hma68zM	2	SOFTWARE\Classes\CLSID\{B2B4A4D1-2754-4140-A2EB-9A76D9D7CDC6}		Linux	explorerplan9shortcut
reghO7vObrb7ciJTbK0_tc22eYYISI	2	SOFTWARE\Classes\CLSID\{B2B4A4D1-2754-4140-A2EB-9A76D9D7CDC6}	SortOrderIndex	#119	explorerplan9shortcut
regntjJukBhD39gYEV.hSoP3fn9sE4	2	SOFTWARE\Classes\CLSID\{B2B4A4D1-2754-4140-A2EB-9A76D9D7CDC6}	System.IsPinnedToNameSpaceTree	#1	explorerplan9shortcut
regHP_hbYnhiG7H2Pjso5B40Y27Bu0	2	SOFTWARE\Classes\CLSID\{B2B4A4D1-2754-4140-A2EB-9A76D9D7CDC6}\DefaultIcon		[System64Folder]wsl.exe,-1	explorerplan9shortcut
regN68BjM7NWXTsG9cF9Fq.2FvXSAM	2	SOFTWARE\Classes\CLSID\{B2B4A4D1-2754-4140-A2EB-9A76D9D7CDC6}\InProcServer32		[System64Folder]windows.storage.dll	explorerplan9shortcut
regyZwVjIyHRwI9LqFeviVxLXHasOc	2	SOFTWARE\Classes\CLSID\{B2B4A4D1-2754-4140-A2EB-9A76D9D7CDC6}\ShellFolder	Attributes	#2692743245	explorerplan9shortcut
reggLNXESJnGBox2HF2LIiq9dESujo	2	SOFTWARE\Classes\CLSID\{B2B4A4D1-2754-4140-A2EB-9A76D9D7CDC6}\ShellFolder	FolderValueFlags	#40	explorerplan9shortcut
regP_GnOBGMXkliMnfRBINtojZROag	2	SOFTWARE\Classes\CLSID\{B2B4A4D1-2754-4140-A2EB-9A76D9D7CDC6}\Instance	CLSID	{4FE04BFD-85B9-49DD-B914-F4C9556B9DA6}	explorerplan9shortcut
